Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Sun Jul 29 21:08:05 2018,25547828,5,510000,24537,24325,24688,24537,24325,24688,0,11,83077,55322,190841,25025,518879 ~ 519144,2.290000 ~ 2.900000,0.572500 ~ 0.725000,6 ~ 112,7 M 261 K 112 B,4 M 26 K 288 B
Sun Jul 29 21:09:05 2018,25547829,5,510000,24612,24432,24706,24612,24432,24706,0,12,82739,61016,174766,25017,519113 ~ 519493,2.350000 ~ 2.990000,0.587500 ~ 0.747500,7 ~ 110,7 M 270 K 549 B,4 M 247 K 103 B
Sun Jul 29 21:10:05 2018,25547830,5,510000,24542,24406,24693,24542,24406,24693,0,0,82564,59722,198515,25091,519487 ~ 519666,2.430000 ~ 2.780000,0.607500 ~ 0.695000,8 ~ 113,6 M 674 K 380 B,3 M 884 K 427 B
Sun Jul 29 21:11:05 2018,25547831,5,510000,24671,24527,24774,24671,24526,24774,0,3,80706,57891,182436,25093,519682 ~ 519781,2.070000 ~ 2.690000,0.517500 ~ 0.672500,6 ~ 108,8 M 515 K 935 B,4 M 814 K 63 B
Sun Jul 29 21:12:03 2018,25547832,3,510000,24667,24546,24898,24667,24546,24898,0,3,82083,60858,171451,25045,519650 ~ 519817,2.680000 ~ 2.950000,0.670000 ~ 0.737500,7 ~ 213,7 M 246 K 87 B,4 M 130 K 458 B
Sun Jul 29 21:12:04 2018,25547832,4,500000,24146,24146,24146,24146,24146,24146,0,0,79507,57131,186099,25045,519650 ~ 519817,2.680000 ~ 2.950000,0.670000 ~ 0.737500,7 ~ 213,7 M 246 K 87 B,4 M 130 K 458 B
Sun Jul 29 21:12:05 2018,25547832,5,510000,24611,24611,24611,24611,24611,24611,0,0,81804,56791,191716,25045,519650 ~ 519817,2.680000 ~ 2.950000,0.670000 ~ 0.737500,7 ~ 213,7 M 246 K 87 B,4 M 130 K 458 B
Sun Jul 29 21:13:05 2018,25547833,5,510000,24571,24400,24644,24571,24400,24644,0,2,82941,55184,174030,25079,519813 ~ 519947,2.380000 ~ 2.680000,0.595000 ~ 0.670000,5 ~ 423,8 M 541 K 921 B,4 M 996 K 577 B
Sun Jul 29 21:14:01 2018,25547834,1,510000,24570,24513,24627,24570,24513,24627,0,0,81756,58376,141763,25000,519841 ~ 519917,1.970000 ~ 2.470000,0.492500 ~ 0.617500,5 ~ 423,6 M 656 K 1010 B,3 M 749 K 84 B
Sun Jul 29 21:14:05 2018,25547834,5,520000,25031,24881,25122,25030,24881,25122,0,4,82682,58909,174137,25000,519841 ~ 519917,1.970000 ~ 2.470000,0.492500 ~ 0.617500,5 ~ 423,6 M 656 K 1010 B,3 M 749 K 84 B
Sun Jul 29 21:15:05 2018,25547835,5,520000,25095,24903,25221,25095,24903,25221,0,0,82193,53797,203542,25090,519875 ~ 520008,2.050000 ~ 2.530000,0.512500 ~ 0.632500,3 ~ 112,7 M 259 K 903 B,4 M 153 K 460 B
Sun Jul 29 21:16:05 2018,25547836,5,520000,25035,24990,25095,25035,24990,25095,0,0,82297,57220,186868,25024,520022 ~ 520123,1.810000 ~ 2.270000,0.452500 ~ 0.567500,0 ~ 319,6 M 651 K 75 B,3 M 775 K 314 B
Sun Jul 29 21:17:05 2018,25547837,5,520000,25085,24903,25297,25085,24903,25297,0,0,81976,57500,204635,25068,520128 ~ 520234,2.090000 ~ 2.770000,0.522500 ~ 0.692500,1 ~ 10,6 M 644 K 300 B,3 M 890 K 764 B
Sun Jul 29 21:18:05 2018,25547838,5,520000,25084,24915,25192,25084,24915,25192,0,1,81568,56519,231113,25146,520235 ~ 520374,2.280000 ~ 2.700000,0.570000 ~ 0.675000,4 ~ 8,7 M 251 K 74 B,4 M 1 K 826 B
Sun Jul 29 21:19:05 2018,25547839,5,520000,25001,24836,25100,25001,24836,25100,0,2,83349,55221,157387,25007,520382 ~ 520496,2.120000 ~ 2.530000,0.530000 ~ 0.632500,4 ~ 9,8 M 506 K 395 B,4 M 784 K 744 B
Sun Jul 29 21:20:05 2018,25547840,5,520000,25050,24938,25170,25050,24938,25170,0,8,82516,59914,182490,25096,520472 ~ 520554,1.880000 ~ 2.300000,0.470000 ~ 0.575000,6 ~ 112,7 M 286 K 741 B,4 M 235 K 496 B
Sun Jul 29 21:21:05 2018,25547841,5,520000,25033,24883,25277,25033,24883,25277,0,2,81693,56087,248541,25017,520565 ~ 520776,2.050000 ~ 2.480000,0.512500 ~ 0.620000,6 ~ 112,6 M 659 K 1020 B,3 M 967 K 578 B
Sun Jul 29 21:22:05 2018,25547842,5,520000,24975,24850,25089,24975,24850,25089,0,0,83109,57351,201501,25057,520772 ~ 520994,2.200000 ~ 2.610000,0.550000 ~ 0.652500,2 ~ 7,10 M 391 K 797 B,5 M 946 K 981 B
Sun Jul 29 21:23:05 2018,25547843,5,520000,25064,24956,25228,25064,24956,25228,0,6,82262,61161,190886,25145,521003 ~ 521134,1.910000 ~ 2.340000,0.477500 ~ 0.585000,3 ~ 114,6 M 674 K 968 B,3 M 936 K 321 B
Sun Jul 29 21:24:05 2018,25547844,5,520000,25020,24823,25196,25020,24823,25196,0,1,82020,56173,208937,25064,521123 ~ 521391,1.770000 ~ 2.080000,0.442500 ~ 0.520000,8 ~ 108,6 M 648 K 1021 B,3 M 801 K 769 B
Sun Jul 29 21:25:05 2018,25547845,5,520000,24992,24818,25064,24992,24818,25064,0,2,83434,59941,173465,25009,521366 ~ 521501,1.890000 ~ 2.390000,0.472500 ~ 0.597500,8 ~ 113,7 M 295 K 342 B,4 M 272 K 658 B
Sun Jul 29 21:26:05 2018,25547846,5,520000,25008,24760,25121,25008,24760,25121,0,1,83457,62520,170664,25069,521476 ~ 521547,2.160000 ~ 2.460000,0.540000 ~ 0.615000,5 ~ 10,6 M 659 K 1018 B,3 M 899 K 462 B
Sun Jul 29 21:27:05 2018,25547847,5,520000,25013,24890,25167,25013,24890,25167,0,2,81934,57884,188248,25131,521478 ~ 521665,1.940000 ~ 2.430000,0.485000 ~ 0.607500,10 ~ 117,6 M 705 K 966 B,3 M 903 K 679 B
Sun Jul 29 21:28:05 2018,25547848,5,520000,24970,24834,25168,24970,24834,25168,0,3,82515,54432,214668,25089,521674 ~ 521824,2.140000 ~ 2.460000,0.535000 ~ 0.615000,5 ~ 112,7 M 245 K 329 B,4 M 120 K 974 B
Sun Jul 29 21:29:05 2018,25547849,5,520000,24993,24840,25120,24993,24840,25120,0,1,83443,58565,188266,25016,521827 ~ 521858,2.430000 ~ 2.870000,0.607500 ~ 0.717500,5 ~ 114,6 M 688 K 307 B,3 M 838 K 457 B
Sun Jul 29 21:30:05 2018,25547850,5,520000,24986,24742,25236,24986,24742,25236,0,4,82833,57036,180486,25134,521841 ~ 521967,1.880000 ~ 2.610000,0.470000 ~ 0.652500,7 ~ 110,8 M 484 K 647 B,4 M 803 K 457 B
Sun Jul 29 21:31:05 2018,25547851,5,520000,24982,24721,25154,24982,24721,25154,0,4,81944,54337,233573,24998,521975 ~ 522031,1.890000 ~ 2.220000,0.472500 ~ 0.555000,0 ~ 10,7 M 266 K 202 B,4 M 39 K 62 B
Sun Jul 29 21:32:05 2018,25547852,5,520000,24974,24814,25162,24974,24814,25162,0,1,83914,59600,175686,25125,522004 ~ 522234,1.810000 ~ 2.160000,0.452500 ~ 0.540000,8 ~ 673,7 M 265 K 888 B,4 M 166 K 230 B
Sun Jul 29 21:33:05 2018,25547853,5,520000,24933,24723,25233,24933,24723,25233,0,6,81696,49600,200355,25092,522198 ~ 522412,2.070000 ~ 2.270000,0.517500 ~ 0.567500,9 ~ 673,7 M 278 K 752 B,4 M 189 K 867 B
Sun Jul 29 21:34:00 2018,25547854,0,510000,24535,24535,24535,24535,24535,24535,0,0,83080,53857,229740,25073,522420 ~ 522570,2.200000 ~ 2.610000,0.550000 ~ 0.652500,5 ~ 9,6 M 657 K 409 B,3 M 779 K 221 B
Sun Jul 29 21:34:05 2018,25547854,5,520000,24963,24900,25023,24963,24900,25023,0,0,83335,58024,228404,25073,522420 ~ 522570,2.200000 ~ 2.610000,0.550000 ~ 0.652500,5 ~ 9,6 M 657 K 409 B,3 M 779 K 221 B
Sun Jul 29 21:35:05 2018,25547855,5,520000,24960,24883,25043,24960,24883,25043,0,12,83975,60548,175006,25046,522422 ~ 522615,2.550000 ~ 2.880000,0.637500 ~ 0.720000,5 ~ 112,7 M 258 K 843 B,4 M 185 K 380 B
Sun Jul 29 21:36:05 2018,25547856,5,520000,24958,24831,25093,24958,24831,25093,0,1,82530,57972,180896,25072,522429 ~ 522791,2.650000 ~ 3.030000,0.662500 ~ 0.757500,4 ~ 112,7 M 264 K 228 B,4 M 242 K 907 B
Sun Jul 29 21:37:05 2018,25547857,5,520000,24951,24855,25074,24951,24855,25074,0,6,83012,55819,201850,25077,522767 ~ 522914,2.440000 ~ 2.930000,0.610000 ~ 0.732500,4 ~ 425,7 M 932 K 925 B,4 M 559 K 318 B
Sun Jul 29 21:38:05 2018,25547858,5,520000,24949,24805,25159,24949,24805,25159,0,3,83529,61858,213380,25080,522691 ~ 522913,2.070000 ~ 2.760000,0.517500 ~ 0.690000,4 ~ 107,7 M 282 K 335 B,4 M 261 K 90 B
Sun Jul 29 21:39:05 2018,25547859,5,520000,24941,24773,25089,24941,24773,25089,0,5,81673,53684,244068,25090,522913 ~ 523144,2.130000 ~ 2.630000,0.532500 ~ 0.657500,7 ~ 217,7 M 273 K 290 B,3 M 957 K 321 B
Sun Jul 29 21:40:05 2018,25547860,5,520000,24914,24823,25055,24914,24823,25055,0,3,83066,50461,254450,25131,523151 ~ 523219,1.870000 ~ 2.330000,0.467500 ~ 0.582500,9 ~ 317,7 M 259 K 375 B,3 M 984 K 919 B
Sun Jul 29 21:41:05 2018,25547861,5,520000,24877,24656,24997,24876,24656,24997,0,15,82663,54050,368789,25061,522980 ~ 523220,2.060000 ~ 2.520000,0.515000 ~ 0.630000,8 ~ 108,6 M 642 K 1008 B,3 M 756 K 723 B
Sun Jul 29 21:42:05 2018,25547862,5,520000,24927,24699,25057,24926,24699,25057,0,11,83279,52850,338923,24992,523008 ~ 523148,2.110000 ~ 2.580000,0.527500 ~ 0.645000,7 ~ 213,7 M 264 K 109 B,4 M 186 K 458 B
Sun Jul 29 21:43:05 2018,25547863,5,520000,24877,24819,24982,24877,24819,24982,0,12,85289,58365,219288,25050,522940 ~ 523150,2.120000 ~ 2.550000,0.530000 ~ 0.637500,4 ~ 112,8 M 511 K 777 B,4 M 836 K 847 B
Sun Jul 29 21:44:05 2018,25547864,5,520000,24896,24814,25013,24896,24814,25013,0,1,82940,54280,239554,25044,523184 ~ 523491,1.810000 ~ 2.230000,0.452500 ~ 0.557500,13 ~ 112,7 M 280 K 334 B,4 M 171 K 431 B
Sun Jul 29 21:45:05 2018,25547865,5,520000,24889,24811,24989,24889,24811,24990,0,3,83522,51420,175677,25121,523498 ~ 523668,1.460000 ~ 2.170000,0.365000 ~ 0.542500,10 ~ 112,8 M 501 K 846 B,4 M 743 K 974 B
Sun Jul 29 21:46:05 2018,25547866,5,520000,24864,24674,25057,24864,24673,25056,0,3,84728,58607,157006,25057,523672 ~ 523749,1.890000 ~ 2.220000,0.472500 ~ 0.555000,9 ~ 10,6 M 670 K 43 B,3 M 851 K 751 B
Sun Jul 29 21:47:05 2018,25547867,5,520000,24895,24820,25131,24895,24820,25130,0,4,83511,57156,202603,25016,523704 ~ 523845,2.080000 ~ 2.550000,0.520000 ~ 0.637500,4 ~ 9,7 M 250 K 927 B,4 M 234 K 713 B
Sun Jul 29 21:48:05 2018,25547868,5,520000,24910,24726,25136,24910,24726,25136,0,0,83092,56324,189160,25147,523858 ~ 524070,2.450000 ~ 2.970000,0.612500 ~ 0.742500,6 ~ 779,8 M 517 K 415 B,4 M 911 K 190 B
